Delta Time, Position, Velocity, 
50, 42.684324, 3.818305, 
50, 42.874941, 3.812348, 
50, 43.065265, 3.806471, 
50, 43.255299, 3.800687, 
50, 43.445049, 3.795007, 
50, 43.634522, 3.789446, 
50, 43.823722, 3.784016, 
50, 44.012659, 3.778732, 
50, 44.201339, 3.773608, 
50, 44.389772, 3.768660, 
50, 44.577967, 3.763901, 
50, 44.765935, 3.759346, 
50, 44.953685, 3.755009, 
50, 45.141230, 3.750905, 
50, 45.328583, 3.747046, 
50, 47.236365, 38.155643, 
50, 47.445440, 4.181494, 
50, 47.654414, 4.179483, 
50, 47.863283, 4.177379, 
50, 48.072042, 4.175184, 
50, 48.280687, 4.172904, 
50, 48.489214, 4.170541, 
50, 48.697619, 4.168100, 
50, 48.905898, 4.165585, 
50, 49.114048, 4.162998, 
50, 49.322066, 4.160346, 
50, 49.529947, 4.157630, 
50, 49.737690, 4.154856, 
50, 49.945291, 4.152027, 
50, 50.152748, 4.149146, 
50, 50.360059, 4.146219, 
50, 50.567222, 4.143248, 
50, 50.774234, 4.140236, 
50, 50.981093, 4.137189, 
50, 51.187798, 4.134107, 
50, 51.394348, 4.130996, 
50, 51.600741, 4.127858, 
50, 51.806976, 4.124695, 
50, 52.013051, 4.121511, 
50, 52.218967, 4.118309, 
50, 52.424721, 4.115091, 
50, 52.630314, 4.111858, 
50, 52.835745, 4.108614, 
50, 53.041013, 4.105361, 
50, 53.246118, 4.102100, 
50, 53.451060, 4.098833, 
50, 53.655838, 4.095562, 
50, 53.860452, 4.092288, 
50, 54.064903, 4.089013, 
50, 54.269190, 4.085738, 
50, 54.473313, 4.082463, 
50, 54.677273, 4.079190, 
50, 54.881069, 4.075921, 
50, 55.084701, 4.072654, 
50, 55.288171, 4.069392, 
50, 55.491478, 4.066134, 
50, 55.694622, 4.062881, 
50, 55.897603, 4.059634, 
50, 56.100423, 4.056392, 
50, 56.303081, 4.053156, 
50, 56.505577, 4.049925, 
50, 56.707912, 4.046701, 
50, 56.910086, 4.043482, 
50, 57.112100, 4.040269, 
50, 57.313953, 4.037061, 
50, 57.515646, 4.033859, 
50, 57.717179, 4.030662, 
50, 57.918552, 4.027469, 
50, 58.119766, 4.024280, 
50, 58.320821, 4.021095, 
50, 58.521716, 4.017914, 
50, 58.722453, 4.014735, 
50, 58.923031, 4.011559, 
50, 59.123450, 4.008385, 
50, 59.323711, 4.005212, 
50, 59.523813, 4.002040, 
50, 59.723756, 3.998868, 
50, 59.923541, 3.995697, 
50, 60.123167, 3.992524, 
50, 60.322635, 3.989350, 
50, 60.521944, 3.986175, 
50, 60.721094, 3.982997, 
50, 60.920084, 3.979816, 
50, 61.118916, 3.976632, 
50, 61.317588, 3.973444, 
50, 61.516101, 3.970253, 
50, 61.714454, 3.967056, 
50, 61.912646, 3.963855, 
50, 62.110679, 3.960649, 
50, 62.308551, 3.957437, 
50, 62.506262, 3.954220, 
50, 62.703811, 3.950997, 
50, 62.901200, 3.947768, 
50, 63.098427, 3.944533, 
50, 63.295491, 3.941292, 
50, 63.492393, 3.938046, 
50, 63.689133, 3.934794, 
50, 63.885710, 3.931538, 
50, 64.082124, 3.928276, 
50, 64.278374, 3.925010, 
50, 64.474461, 3.921741, 
50, 64.670385, 3.918468, 
50, 64.866144, 3.915194, 
50, 65.061740, 3.911918, 
50, 65.257172, 3.908642, 
50, 65.452441, 3.905367, 
50, 65.647546, 3.902095, 
50, 65.842487, 3.898826, 
50, 66.037265, 3.895562, 
50, 66.231880, 3.892306, 
50, 66.426333, 3.889058, 
50, 66.620624, 3.885822, 
50, 66.814754, 3.882599, 
50, 67.008724, 3.879391, 
50, 67.202534, 3.876201, 
50, 67.396185, 3.873031, 
50, 67.589680, 3.869885, 
50, 67.783018, 3.866765, 
50, 67.976201, 3.863674, 
50, 68.169232, 3.860615, 
50, 68.362112, 3.857592, 
50, 68.554842, 3.854608, 
50, 68.747426, 3.851667, 
50, 68.939864, 3.848772, 
50, 69.132161, 3.845927, 
50, 69.324317, 3.843136, 
50, 69.516337, 3.840402, 
50, 69.708224, 3.837730, 
50, 69.899980, 3.835124, 
50, 70.091610, 3.832587, 
50, 70.283116, 3.830123, 
50, 70.474503, 3.827737, 
50, 70.665774, 3.825432, 
50, 70.856935, 3.823212, 
50, 71.047989, 3.821081, 
50, 71.238941, 3.819042, 
50, 73.140644, 38.034063, 
50, 73.304568, 3.278486, 
50, 73.462971, 3.168056, 
50, 73.614680, 3.034177, 
50, 73.758297, 2.872339, 
50, 73.892243, 2.678915, 
50, 74.014923, 2.453597, 
50, 74.125115, 2.203848, 
50, 74.222664, 1.950989, 
50, 74.309309, 1.732899, 
50, 74.389217, 1.598151, 
50, 74.468453, 1.584730, 
50, 74.553115, 1.693222, 
50, 74.647342, 1.884545, 
50, 74.752591, 2.104978, 
50, 74.868152, 2.311229, 
50, 74.992106, 2.479079, 
50, 75.122094, 2.599751, 
50, 75.255756, 2.673258, 
50, 75.390925, 2.703379, 
50, 75.525669, 2.694872, 
50, 75.658422, 2.655058, 
50, 75.788102, 2.593595, 
50, 75.913946, 2.516892, 
50, 76.035342, 2.427920, 
50, 76.151788, 2.328910, 
50, 76.262864, 2.221533, 
50, 76.368217, 2.107050, 
50, 76.467538, 1.986413, 
50, 76.560555, 1.860352, 
50, 76.647027, 1.729438, 
50, 76.726733, 1.594128, 
50, 76.799474, 1.454810, 
50, 76.865065, 1.311826, 
50, 76.923340, 1.165500, 
50, 76.974148, 1.016154, 
50, 77.017525, 0.867540, 
50, 77.053859, 0.726685, 
50, 77.083723, 0.597279, 
50, 77.107713, 0.479802, 
50, 77.126446, 0.374654, 
50, 77.140554, 0.282159, 
50, 77.150683, 0.202575, 
50, 77.157487, 0.136091, 
50, 77.161629, 0.082844, 
50, 77.163776, 0.042921, 
50, 77.164594, 0.016373, 
50, 77.164755, 0.003224, 
50, 77.164755, 0.000000, 
